sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,age_binned,promis_dep_sum_tm1,directed,age_binned -> promis_dep_sum_tm1,0.999
0.5,age_binned,promis_anx_sum_tm1,directed,age_binned -> promis_anx_sum_tm1,0.938
0.5,age_binned,rmssd_std_tm1,directed,age_binned -> rmssd_std_tm1,0.809
0.5,age_binned,breath_average_std_tm1,directed,age_binned -> breath_average_std_tm1,1.0
0.5,age_binned,rem_mean_tm1,directed,age_binned -> rem_mean_tm1,0.371
0.5,age_binned,rmssd_std_t,directed,age_binned -> rmssd_std_t,1.0
0.5,age_binned,breath_average_std_t,directed,age_binned -> breath_average_std_t,1.0
0.5,age_binned,breath_v_average_mean_t,directed,age_binned -> breath_v_average_mean_t,0.19
0.5,age_binned,breath_v_average_std_t,directed,age_binned -> breath_v_average_std_t,0.851
0.5,age_binned,awake_std_t,directed,age_binned -> awake_std_t,0.807
0.5,sex_encoded,promis_anx_sum_tm1,directed,sex_encoded -> promis_anx_sum_tm1,1.0
0.5,sex_encoded,temperature_trend_deviation_std_tm1,directed,sex_encoded -> temperature_trend_deviation_std_tm1,1.0
0.5,sex_encoded,onset_latency_mean_tm1,directed,sex_encoded -> onset_latency_mean_tm1,0.35
0.5,sex_encoded,deep_std_tm1,directed,sex_encoded -> deep_std_tm1,0.999
0.5,sex_encoded,rem_std_tm1,directed,sex_encoded -> rem_std_tm1,0.001
0.5,sex_encoded,promis_anx_sum_t,directed,sex_encoded -> promis_anx_sum_t,0.999
0.5,sex_encoded,temperature_trend_deviation_std_t,directed,sex_encoded -> temperature_trend_deviation_std_t,1.0
0.5,sex_encoded,onset_latency_std_t,directed,sex_encoded -> onset_latency_std_t,0.994
0.5,sex_encoded,deep_std_t,directed,sex_encoded -> deep_std_t,0.987
0.5,race_encoded,promis_anx_sum_tm1,directed,race_encoded -> promis_anx_sum_tm1,0.135
0.5,promis_dep_sum_tm1,promis_anx_sum_tm1,directed,promis_dep_sum_tm1 -> promis_anx_sum_tm1,0.27
0.5,awake_std_tm1,promis_dep_sum_tm1,directed,awake_std_tm1 -> promis_dep_sum_tm1,0.092
0.5,promis_dep_sum_tm1,promis_dep_sum_t,directed,promis_dep_sum_tm1 -> promis_dep_sum_t,1.0
0.5,promis_dep_sum_tm1,promis_anx_sum_t,directed,promis_dep_sum_tm1 -> promis_anx_sum_t,1.0
0.5,breath_average_mean_tm1,promis_anx_sum_tm1,directed,breath_average_mean_tm1 -> promis_anx_sum_tm1,0.011
0.5,promis_anx_sum_tm1,promis_dep_sum_t,directed,promis_anx_sum_tm1 -> promis_dep_sum_t,1.0
