sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,age_binned,promis_dep_sum_tm1,directed,age_binned -> promis_dep_sum_tm1,0.995
0.5,age_binned,promis_anx_sum_tm1,directed,age_binned -> promis_anx_sum_tm1,0.892
0.5,age_binned,rmssd_std_tm1,directed,age_binned -> rmssd_std_tm1,0.753
0.5,age_binned,breath_average_std_tm1,directed,age_binned -> breath_average_std_tm1,1.0
0.5,age_binned,rmssd_std_t,directed,age_binned -> rmssd_std_t,1.0
0.5,age_binned,breath_average_std_t,directed,age_binned -> breath_average_std_t,1.0
0.5,age_binned,breath_v_average_std_t,directed,age_binned -> breath_v_average_std_t,0.838
0.5,age_binned,awake_std_t,directed,age_binned -> awake_std_t,0.779
0.5,sex_encoded,promis_anx_sum_tm1,directed,sex_encoded -> promis_anx_sum_tm1,1.0
0.5,sex_encoded,temperature_trend_deviation_std_tm1,directed,sex_encoded -> temperature_trend_deviation_std_tm1,1.0
0.5,sex_encoded,deep_std_tm1,directed,sex_encoded -> deep_std_tm1,1.0
0.5,sex_encoded,promis_anx_sum_t,directed,sex_encoded -> promis_anx_sum_t,0.992
0.5,sex_encoded,temperature_trend_deviation_std_t,directed,sex_encoded -> temperature_trend_deviation_std_t,1.0
0.5,sex_encoded,onset_latency_std_t,directed,sex_encoded -> onset_latency_std_t,1.0
0.5,sex_encoded,deep_std_t,directed,sex_encoded -> deep_std_t,1.0
0.5,promis_anx_sum_tm1,promis_dep_sum_tm1,directed,promis_anx_sum_tm1 -> promis_dep_sum_tm1,0.746
0.5,promis_dep_sum_tm1,promis_dep_sum_t,directed,promis_dep_sum_tm1 -> promis_dep_sum_t,1.0
0.5,promis_dep_sum_tm1,promis_anx_sum_t,directed,promis_dep_sum_tm1 -> promis_anx_sum_t,1.0
0.5,promis_anx_sum_tm1,promis_dep_sum_t,directed,promis_anx_sum_tm1 -> promis_dep_sum_t,1.0
0.5,promis_anx_sum_tm1,promis_anx_sum_t,directed,promis_anx_sum_tm1 -> promis_anx_sum_t,1.0
0.5,rmssd_mean_tm1,hr_average_mean_tm1,directed,rmssd_mean_tm1 -> hr_average_mean_tm1,0.636
0.5,breath_average_mean_tm1,hr_average_mean_tm1,directed,breath_average_mean_tm1 -> hr_average_mean_tm1,0.502
0.5,hr_lowest_mean_tm1,hr_average_mean_tm1,directed,hr_lowest_mean_tm1 -> hr_average_mean_tm1,0.616
0.5,breath_v_average_mean_tm1,hr_average_mean_tm1,directed,breath_v_average_mean_tm1 -> hr_average_mean_tm1,0.897
0.5,temperature_trend_deviation_mean_tm1,hr_average_mean_tm1,directed,temperature_trend_deviation_mean_tm1 -> hr_average_mean_tm1,0.923
0.5,hr_average_mean_tm1,hr_average_mean_t,directed,hr_average_mean_tm1 -> hr_average_mean_t,1.0
0.5,rmssd_std_tm1,hr_average_std_tm1,directed,rmssd_std_tm1 -> hr_average_std_tm1,0.999
0.5,breath_average_std_tm1,hr_average_std_tm1,directed,breath_average_std_tm1 -> hr_average_std_tm1,0.809
0.5,hr_lowest_mean_tm1,hr_average_std_tm1,directed,hr_lowest_mean_tm1 -> hr_average_std_tm1,0.876
0.5,hr_lowest_std_tm1,hr_average_std_tm1,directed,hr_lowest_std_tm1 -> hr_average_std_tm1,0.95
0.5,breath_v_average_std_tm1,hr_average_std_tm1,directed,breath_v_average_std_tm1 -> hr_average_std_tm1,0.933
0.5,breath_v_average_std_tm1,hr_average_std_tm1,undirected,breath_v_average_std_tm1 -- hr_average_std_tm1,0.027
0.5,temperature_deviation_mean_tm1,hr_average_std_tm1,directed,temperature_deviation_mean_tm1 -> hr_average_std_tm1,0.356
0.5,temperature_deviation_std_tm1,hr_average_std_tm1,directed,temperature_deviation_std_tm1 -> hr_average_std_tm1,0.966
0.5,efficiency_std_tm1,hr_average_std_tm1,directed,efficiency_std_tm1 -> hr_average_std_tm1,0.786
0.5,awake_std_tm1,hr_average_std_tm1,directed,awake_std_tm1 -> hr_average_std_tm1,0.574
0.5,hr_average_std_tm1,hr_average_std_t,directed,hr_average_std_tm1 -> hr_average_std_t,1.0
0.5,rmssd_mean_tm1,hr_lowest_mean_tm1,directed,rmssd_mean_tm1 -> hr_lowest_mean_tm1,0.027
0.5,rmssd_mean_tm1,deep_mean_tm1,directed,rmssd_mean_tm1 -> deep_mean_tm1,0.096
0.5,rmssd_mean_tm1,rem_mean_tm1,directed,rmssd_mean_tm1 -> rem_mean_tm1,0.111
0.5,rmssd_mean_tm1,rmssd_mean_t,directed,rmssd_mean_tm1 -> rmssd_mean_t,1.0
0.5,rmssd_mean_tm1,rmssd_std_t,directed,rmssd_mean_tm1 -> rmssd_std_t,0.204
0.5,temperature_trend_deviation_std_tm1,rmssd_std_tm1,directed,temperature_trend_deviation_std_tm1 -> rmssd_std_tm1,0.64
0.5,deep_std_tm1,rmssd_std_tm1,directed,deep_std_tm1 -> rmssd_std_tm1,0.644
0.5,rmssd_std_tm1,hr_average_std_t,directed,rmssd_std_tm1 -> hr_average_std_t,0.306
0.5,rmssd_std_tm1,rmssd_mean_t,directed,rmssd_std_tm1 -> rmssd_mean_t,0.265
0.5,rmssd_std_tm1,rmssd_std_t,directed,rmssd_std_tm1 -> rmssd_std_t,1.0
0.5,hr_lowest_mean_tm1,breath_average_mean_tm1,directed,hr_lowest_mean_tm1 -> breath_average_mean_tm1,0.511
0.5,temperature_deviation_mean_tm1,breath_average_mean_tm1,directed,temperature_deviation_mean_tm1 -> breath_average_mean_tm1,0.578
0.5,temperature_trend_deviation_std_tm1,breath_average_mean_tm1,directed,temperature_trend_deviation_std_tm1 -> breath_average_mean_tm1,0.977
0.5,rem_mean_tm1,breath_average_mean_tm1,directed,rem_mean_tm1 -> breath_average_mean_tm1,0.816
0.5,breath_average_mean_tm1,breath_average_mean_t,directed,breath_average_mean_tm1 -> breath_average_mean_t,1.0
0.5,breath_average_mean_tm1,onset_latency_mean_t,directed,breath_average_mean_tm1 -> onset_latency_mean_t,0.068
0.5,breath_v_average_std_tm1,breath_average_std_tm1,directed,breath_v_average_std_tm1 -> breath_average_std_tm1,0.884
0.5,deep_std_tm1,breath_average_std_tm1,directed,deep_std_tm1 -> breath_average_std_tm1,0.643
0.5,awake_std_tm1,breath_average_std_tm1,directed,awake_std_tm1 -> breath_average_std_tm1,0.766
0.5,awake_std_tm1,breath_average_std_tm1,undirected,awake_std_tm1 -- breath_average_std_tm1,0.001
0.5,breath_average_std_tm1,hr_average_std_t,directed,breath_average_std_tm1 -> hr_average_std_t,0.403
0.5,breath_average_std_tm1,breath_average_std_t,directed,breath_average_std_tm1 -> breath_average_std_t,1.0
0.5,light_mean_tm1,hr_lowest_mean_tm1,directed,light_mean_tm1 -> hr_lowest_mean_tm1,0.069
0.5,hr_lowest_mean_tm1,hr_lowest_mean_t,directed,hr_lowest_mean_tm1 -> hr_lowest_mean_t,1.0
0.5,hr_lowest_std_tm1,efficiency_std_tm1,directed,hr_lowest_std_tm1 -> efficiency_std_tm1,0.623
0.5,hr_lowest_std_tm1,hr_lowest_std_t,directed,hr_lowest_std_tm1 -> hr_lowest_std_t,0.997
0.5,breath_v_average_mean_tm1,deep_mean_tm1,directed,breath_v_average_mean_tm1 -> deep_mean_tm1,0.054
0.5,breath_v_average_mean_tm1,deep_mean_tm1,undirected,breath_v_average_mean_tm1 -- deep_mean_tm1,0.076
0.5,rem_mean_tm1,breath_v_average_mean_tm1,directed,rem_mean_tm1 -> breath_v_average_mean_tm1,0.903
0.5,rem_std_tm1,breath_v_average_mean_tm1,directed,rem_std_tm1 -> breath_v_average_mean_tm1,0.698
0.5,breath_v_average_mean_tm1,breath_v_average_mean_t,directed,breath_v_average_mean_tm1 -> breath_v_average_mean_t,1.0
0.5,deep_std_tm1,breath_v_average_std_tm1,directed,deep_std_tm1 -> breath_v_average_std_tm1,0.172
0.5,rem_std_tm1,breath_v_average_std_tm1,directed,rem_std_tm1 -> breath_v_average_std_tm1,0.416
0.5,breath_v_average_std_tm1,breath_v_average_std_t,directed,breath_v_average_std_tm1 -> breath_v_average_std_t,1.0
0.5,temperature_deviation_mean_tm1,temperature_trend_deviation_mean_tm1,directed,temperature_deviation_mean_tm1 -> temperature_trend_deviation_mean_tm1,0.147
0.5,temperature_deviation_mean_tm1,temperature_trend_deviation_mean_tm1,undirected,temperature_deviation_mean_tm1 -- temperature_trend_deviation_mean_tm1,0.748
0.5,temperature_deviation_mean_tm1,temperature_deviation_mean_t,directed,temperature_deviation_mean_tm1 -> temperature_deviation_mean_t,1.0
0.5,temperature_deviation_std_tm1,temperature_trend_deviation_std_tm1,directed,temperature_deviation_std_tm1 -> temperature_trend_deviation_std_tm1,0.801
0.5,temperature_deviation_std_tm1,temperature_trend_deviation_std_tm1,undirected,temperature_deviation_std_tm1 -- temperature_trend_deviation_std_tm1,0.012
0.5,onset_latency_std_tm1,temperature_deviation_std_tm1,directed,onset_latency_std_tm1 -> temperature_deviation_std_tm1,0.133
0.5,onset_latency_std_tm1,temperature_deviation_std_tm1,undirected,onset_latency_std_tm1 -- temperature_deviation_std_tm1,0.041
0.5,light_std_tm1,temperature_deviation_std_tm1,directed,light_std_tm1 -> temperature_deviation_std_tm1,0.225
0.5,light_std_tm1,temperature_deviation_std_tm1,undirected,light_std_tm1 -- temperature_deviation_std_tm1,0.17
0.5,temperature_deviation_std_tm1,temperature_deviation_std_t,directed,temperature_deviation_std_tm1 -> temperature_deviation_std_t,1.0
0.5,temperature_trend_deviation_mean_tm1,temperature_deviation_mean_t,directed,temperature_trend_deviation_mean_tm1 -> temperature_deviation_mean_t,0.519
0.5,temperature_trend_deviation_mean_tm1,temperature_trend_deviation_mean_t,directed,temperature_trend_deviation_mean_tm1 -> temperature_trend_deviation_mean_t,1.0
0.5,temperature_trend_deviation_std_tm1,awake_std_tm1,directed,temperature_trend_deviation_std_tm1 -> awake_std_tm1,0.678
0.5,temperature_trend_deviation_std_tm1,temperature_deviation_std_t,directed,temperature_trend_deviation_std_tm1 -> temperature_deviation_std_t,0.845
0.5,temperature_trend_deviation_std_tm1,temperature_trend_deviation_std_t,directed,temperature_trend_deviation_std_tm1 -> temperature_trend_deviation_std_t,1.0
0.5,temperature_max_mean_tm1,efficiency_mean_tm1,directed,temperature_max_mean_tm1 -> efficiency_mean_tm1,0.966
0.5,temperature_max_mean_tm1,light_mean_tm1,directed,temperature_max_mean_tm1 -> light_mean_tm1,0.844
0.5,temperature_max_mean_tm1,rem_mean_tm1,directed,temperature_max_mean_tm1 -> rem_mean_tm1,0.213
0.5,temperature_max_mean_tm1,temperature_max_mean_t,directed,temperature_max_mean_tm1 -> temperature_max_mean_t,1.0
0.5,temperature_max_std_tm1,efficiency_std_tm1,directed,temperature_max_std_tm1 -> efficiency_std_tm1,0.961
0.5,temperature_max_std_tm1,deep_std_tm1,directed,temperature_max_std_tm1 -> deep_std_tm1,0.669
0.5,temperature_max_std_tm1,light_std_tm1,directed,temperature_max_std_tm1 -> light_std_tm1,0.635
0.5,temperature_max_std_tm1,temperature_max_std_t,directed,temperature_max_std_tm1 -> temperature_max_std_t,1.0
0.5,awake_mean_tm1,onset_latency_mean_tm1,directed,awake_mean_tm1 -> onset_latency_mean_tm1,0.225
0.5,awake_mean_tm1,onset_latency_mean_tm1,undirected,awake_mean_tm1 -- onset_latency_mean_tm1,0.422
0.5,onset_latency_mean_tm1,onset_latency_mean_t,directed,onset_latency_mean_tm1 -> onset_latency_mean_t,1.0
0.5,onset_latency_mean_tm1,onset_latency_std_t,directed,onset_latency_mean_tm1 -> onset_latency_std_t,0.222
0.5,onset_latency_std_tm1,awake_std_tm1,directed,onset_latency_std_tm1 -> awake_std_tm1,0.563
0.5,onset_latency_std_tm1,onset_latency_std_t,directed,onset_latency_std_tm1 -> onset_latency_std_t,1.0
0.5,onset_latency_std_tm1,awake_std_t,directed,onset_latency_std_tm1 -> awake_std_t,0.943
0.5,deep_mean_tm1,efficiency_mean_tm1,directed,deep_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,rem_mean_tm1,efficiency_mean_tm1,directed,rem_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,awake_mean_tm1,efficiency_mean_tm1,directed,awake_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,efficiency_mean_tm1,efficiency_mean_t,directed,efficiency_mean_tm1 -> efficiency_mean_t,1.0
0.5,efficiency_std_tm1,deep_std_tm1,directed,efficiency_std_tm1 -> deep_std_tm1,0.962
0.5,efficiency_std_tm1,light_std_tm1,directed,efficiency_std_tm1 -> light_std_tm1,0.701
0.5,efficiency_std_tm1,light_std_tm1,undirected,efficiency_std_tm1 -- light_std_tm1,0.07
0.5,awake_std_tm1,efficiency_std_tm1,directed,awake_std_tm1 -> efficiency_std_tm1,0.991
0.5,efficiency_std_tm1,efficiency_std_t,directed,efficiency_std_tm1 -> efficiency_std_t,1.0
0.5,light_mean_tm1,deep_mean_tm1,directed,light_mean_tm1 -> deep_mean_tm1,0.165
0.5,deep_mean_tm1,deep_mean_t,directed,deep_mean_tm1 -> deep_mean_t,1.0
0.5,deep_std_tm1,light_std_tm1,directed,deep_std_tm1 -> light_std_tm1,0.33
0.5,deep_std_tm1,light_std_tm1,undirected,deep_std_tm1 -- light_std_tm1,0.011
0.5,deep_std_tm1,deep_std_t,directed,deep_std_tm1 -> deep_std_t,1.0
0.5,rem_mean_tm1,light_mean_tm1,directed,rem_mean_tm1 -> light_mean_tm1,0.683
0.5,awake_mean_tm1,light_mean_tm1,directed,awake_mean_tm1 -> light_mean_tm1,0.919
0.5,awake_mean_tm1,light_mean_tm1,undirected,awake_mean_tm1 -- light_mean_tm1,0.028
0.5,light_mean_tm1,light_mean_t,directed,light_mean_tm1 -> light_mean_t,1.0
0.5,light_std_tm1,rem_std_tm1,directed,light_std_tm1 -> rem_std_tm1,0.479
0.5,light_std_tm1,rem_std_tm1,undirected,light_std_tm1 -- rem_std_tm1,0.3
0.5,light_std_tm1,light_std_t,directed,light_std_tm1 -> light_std_t,1.0
0.5,rem_mean_tm1,rem_mean_t,directed,rem_mean_tm1 -> rem_mean_t,1.0
0.5,rem_std_tm1,awake_std_tm1,directed,rem_std_tm1 -> awake_std_tm1,0.294
0.5,rem_std_tm1,rmssd_std_t,directed,rem_std_tm1 -> rmssd_std_t,0.989
0.5,rem_std_tm1,rem_std_t,directed,rem_std_tm1 -> rem_std_t,1.0
0.5,awake_mean_tm1,awake_mean_t,directed,awake_mean_tm1 -> awake_mean_t,1.0
0.5,awake_std_tm1,breath_average_mean_t,directed,awake_std_tm1 -> breath_average_mean_t,0.176
0.5,awake_std_tm1,onset_latency_std_t,directed,awake_std_tm1 -> onset_latency_std_t,0.239
0.5,awake_std_tm1,awake_std_t,directed,awake_std_tm1 -> awake_std_t,1.0
0.5,promis_anx_sum_t,promis_dep_sum_t,directed,promis_anx_sum_t -> promis_dep_sum_t,0.726
0.5,promis_anx_sum_t,promis_dep_sum_t,undirected,promis_anx_sum_t -- promis_dep_sum_t,0.007
0.5,hr_average_mean_t,rmssd_mean_t,directed,hr_average_mean_t -> rmssd_mean_t,0.697
0.5,hr_average_mean_t,rmssd_mean_t,undirected,hr_average_mean_t -- rmssd_mean_t,0.004
0.5,hr_average_mean_t,breath_average_mean_t,directed,hr_average_mean_t -> breath_average_mean_t,0.458
0.5,hr_average_mean_t,hr_lowest_mean_t,directed,hr_average_mean_t -> hr_lowest_mean_t,0.82
0.5,temperature_trend_deviation_mean_t,hr_average_mean_t,directed,temperature_trend_deviation_mean_t -> hr_average_mean_t,0.374
