exposure,outcome,adj_set_idx,adj_set_size,adj_set,status,coef_mean,coef_median,coef_std,coef_ci_lower,coef_ci_upper,p_value_median,p_value_mean,cohens_d_mean,cohens_d_median,cohens_d_ci_lower,cohens_d_ci_upper,n_pairs,n_obs,n_subjects,n_bootstrap_success,significant
promis_dep_sum_t,rem_std_t,1,2,age_binned; sex_encoded,success,-23.08285646012197,-14.157672629691477,113.9509741363447,-221.51416779854048,122.2568290554447,0.7133988338158432,0.6926076693898581,-0.039973078455461844,-0.024628104787608796,-0.376906989239176,0.19867504068712488,16,20,20,10,False
promis_dep_sum_t,rem_std_t,2,2,promis_dep_sum_tm1; sex_encoded,success,47.82866548481061,40.17575454917322,99.59624483214243,-86.67077833159993,281.54487285284483,0.7103916383778109,0.6407257441126171,0.10636331265380256,0.09215075851770647,-0.1965344809204831,0.5756149471595603,23,24,24,50,False
promis_dep_sum_t,rem_std_t,3,3,awake_std_t; rem_mean_tm1; rem_std_tm1,success,31.174848627412334,31.156212101101076,8.007794545873885,18.09777503809558,46.751931640722084,0.0039995770677355895,0.017887391568930305,0.06472752129412436,0.06460524213737841,0.0370878699526792,0.09612113792127953,4070,4510,4510,50,True
promis_dep_sum_t,rem_std_t,4,3,promis_anx_sum_t; promis_anx_sum_tm1; promis_dep_sum_tm1,success,7.358133031702369,4.253537563312757,32.57588037084099,-56.10321073686841,65.93861359118058,0.6379670944876807,0.6414803102555874,0.014585814903778607,0.008477662978496975,-0.10364777472192103,0.12724670848692998,407,444,444,50,False
promis_dep_sum_t,rem_std_t,5,4,awake_mean_tm1; awake_std_tm1; rem_mean_tm1; rem_std_tm1,success,29.383172460399496,28.424308350479578,7.610344701424479,17.581256830054613,44.9826248527301,0.00957522024294644,0.02424126464966549,0.06073383270029838,0.05916330992328554,0.036351578998572484,0.092719403431602,4063,4470,4470,50,True
promis_dep_sum_t,rem_std_t,6,5,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; sex_encoded,success,51.47986868900063,50.69759041258868,7.191127256219914,36.599081765107414,65.10583197336787,0.00010054074668392388,0.000570572716689184,0.10554156826634906,0.10409072669494482,0.07600177675796822,0.1344611363740048,3923,4316,4316,50,True
promis_dep_sum_t,rem_std_t,7,5,awake_mean_tm1; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; temperature_trend_deviation_std_tm1,success,54.433346485575264,54.718984526558884,8.269435834921019,38.82325462746624,68.71676663563223,2.143331548140454e-05,0.0003455601551397343,0.10992350689074185,0.11077504779958915,0.07768657491289764,0.14019950126737712,4008,4366,4366,50,True
promis_dep_sum_t,rem_std_t,8,5,awake_mean_tm1; deep_mean_tm1; light_mean_tm1; rem_mean_tm1; sex_encoded,success,58.67951226352037,58.92264754925489,6.762432562689723,46.126929895571415,70.19853184660064,1.0420016897338875e-05,7.69171723416197e-05,0.11877555547622576,0.11857485322900571,0.09462789711298768,0.14273964976839743,3998,4436,4436,50,True
promis_dep_sum_t,rem_std_t,9,5,awake_mean_tm1; efficiency_mean_tm1; light_mean_tm1; rem_mean_tm1; sex_encoded,success,44.854987128911304,46.70187829473816,9.796066372801867,20.58543939064612,60.206789656795316,0.0006456990858231766,0.010349144762564601,0.09166233376629329,0.09343813661384295,0.04242447388285117,0.12268087866169841,3948,4382,4382,50,True
promis_dep_sum_t,rem_std_t,10,5,awake_std_t; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; sex_encoded,success,51.3640758999398,51.33735772159699,7.879328157809786,38.76914887573313,66.7233982733508,3.911809729908243e-05,0.0003754029017141886,0.10494494474101737,0.10433521050026877,0.07913612692010949,0.13513156434296367,4007,4392,4392,50,True
promis_dep_sum_t,rem_std_t,11,5,awake_std_t; awake_std_tm1; breath_v_average_std_tm1; rem_mean_tm1; temperature_trend_deviation_std_tm1,success,43.66990700400736,42.04033007837138,7.659512525814135,30.407996607094017,57.24713512454728,0.0006713478130299798,0.0019342027093362032,0.08980573689585408,0.08662482383077501,0.061682370816347275,0.11730780753763571,4045,4434,4434,50,True
promis_dep_sum_t,rem_std_t,12,6,age_binned; awake_std_tm1; breath_v_average_mean_tm1; efficiency_mean_tm1; light_mean_tm1; rem_std_tm1,success,29.37194790440588,27.553865369785576,8.281246748859544,17.227840595164064,44.68692160930585,0.014540368948102376,0.03134899713485482,0.06073716824787858,0.057278345509514876,0.035399054605754626,0.09243656875654042,3992,4414,4414,50,True
